Ranking,CompanyName,TaxPaid,Link,Industry,Type,TotalProfit,MarketCap,TotalRevenue,Full Earnings,Full Revenue
67,Tập đoàn Công nghiệp Cao su Việt Nam,"1980,90",https://cafef.vn/du-lieu//hose/GVR-tap-doan-cong-nghiep-cao-su-viet-nam.chn,Cao su,SOE,4256013359,112400,26248984718,True,True
68,Công ty TNHH MTV Xổ số kiến thiết Bình Thuận,"1971,10",https://cafef.vn/du-lieu//otc/XSBINHTHUAN-cong-ty-tnhh-mtv-xo-so-kien-thiet-binh-thuan.chn,Xổ số,SOE,,,0,False,False
69,Công ty TNHH MTV Thương mại Dầu khí Đồng Tháp,"1963,20",https://cafef.vn/du-lieu//upcom/PDT-cong-ty-tnhh-mtv-thuong-mai-dau-khi-dong-thap.chn,Xăng dầu,SOE,212540931,"1100,28",0,True,False
70,Công ty TNHH MTV Xổ số kiến thiết Vĩnh Long,"1928,10",https://cafef.vn/du-lieu//otc/XSVL-cong-ty-tnhh-mtv-xo-so-kien-thiet-vinh-long.chn,Xổ số,SOE,,,0,False,False
71,Ngân hàng TMCP Hàng hải Việt Nam,"1907,30",https://cafef.vn/du-lieu//hose/MSB-ngan-hang-tmcp-hang-hai-viet-nam.chn,Ngân hàng,Private,,30030,0,False,False
72,Tập đoàn Hóa chất Việt Nam,1889,https://cafef.vn/du-lieu//otc/VINACHEM-tap-doan-hoa-chat-viet-nam.chn,Hóa chất,SOE,,,0,False,False
73,Ngân hàng TMCP Lộc Phát Việt Nam,"1871,70",https://cafef.vn/du-lieu//hose/LPB-ngan-hang-tmcp-loc-phat-viet-nam.chn,Ngân hàng,Private,,"105451,06",0,False,False
74,CTCP Tập đoàn Bia Sài Gòn Bình Tây,1855,https://cafef.vn/du-lieu//upcom/SBB-ctcp-tap-doan-bia-sai-gon-binh-tay.chn,F&B/Bia rượu,Private,-520435272,"1295,36",2243571977,False,False
75,CTCP Chứng khoán VPS,"1774,20",https://cafef.vn/du-lieu//otc/VPSS-ctcp-chung-khoan-vps.chn,Chứng khoán,Private,,,0,False,False
76,Công ty TNHH MTV Xổ số kiến thiết Sóc Trăng,1751,https://cafef.vn/du-lieu//otc/XSST-cong-ty-tnhh-mtv-xo-so-kien-thiet-soc-trang.chn,Xổ số,SOE,,,0,False,False
77,Công ty TNHH MTV Xổ số điện toán Việt Nam,"1728,40",https://cafef.vn/du-lieu//otc/VIETLOTT-cong-ty-tnhh-mtv-xo-so-dien-toan-viet-nam.chn,Xổ số,SOE,,,0,False,False
78,Công ty TNHH MTV Xổ số kiến thiết Hậu Giang,1690,https://cafef.vn/du-lieu//otc/XSHG-cong-ty-tnhh-mtv-xo-so-kien-thiet-hau-giang.chn,Xổ số,SOE,,,0,False,False
79,Tổng Công ty Quản lý bay Việt Nam,"1686,67",https://cafef.vn/du-lieu//otc/VATM-tong-cong-ty-quan-ly-bay-viet-nam.chn,Hàng không,SOE,,,0,False,False
80,Tổng Công ty Xăng dầu Quân đội,1661,,Xăng dầu,SOE,False,False
81,Tổng Công ty Viễn thông Mobifone,1639,https://cafef.vn/du-lieu//otc/MOBIFONE-tong-cong-ty-vien-thong-mobifone.chn,Công nghệ - Viễn thông,SOE,,,0,False,False
82,Tổng Công ty Công nghiệp Thực phẩm Đồng Nai,"1605,40",https://cafef.vn/du-lieu//otc/DOFICO-tong-cong-ty-cong-nghiep-thuc-pham-dong-nai.chn,Thuốc lá,SOE,-3062613,,3412662,False,False
83,CTCP Đầu tư Văn Phú - Invest,"1508,40",https://cafef.vn/du-lieu//hose/VPI-ctcp-dau-tu-van-phu-invest.chn,Bất động sản - Xây dựng,Private,268341578,"15938,47",1281265789,True,True
84,Tập đoàn Bảo Việt,1452,https://cafef.vn/du-lieu//hose/BVH-tap-doan-bao-viet.chn,Bảo hiểm,SOE,,"36448,05",0,False,False
85,CTCP Vàng bạc Đá quý Phú Nhuận,"1418,90",https://cafef.vn/du-lieu//hose/PNJ-ctcp-vang-bac-da-quy-phu-nhuan.chn,Bán lẻ,Private,2054937118,"28755,73",35289598359,True,True
86,Tổng Công ty Công nghiệp Xi măng Việt Nam,"1412,30",https://cafef.vn/du-lieu//otc/VICEM-tong-cong-ty-cong-nghiep-xi-mang-viet-nam.chn,Vật liệu xây dựng,SOE,194547912,,63311663,False,False
87,CTCP Cơ điện lạnh,"1400,60",https://cafef.vn/du-lieu//hose/REE-ctcp-co-dien-lanh.chn,"Công nghiệp, điện năng, bất động sản",Private,2125337158,"33724,56",8623963649,True,True
88,Công ty TNHH MTV Xổ số kiến thiết và dịch vụ tổng hợp Bình Phước,"1353,40",https://cafef.vn/du-lieu//otc/XSBP-cong-ty-tnhh-mtv-xo-so-kien-thiet-va-dich-vu-tong-hop-binh-phuoc.chn,Xổ số,SOE,,,0,False,False
89,HSBC Việt Nam,"1329,20",https://cafef.vn/du-lieu//otc/HSBC-hsbc-viet-nam.chn,Ngân hàng,Foreign,,,0,False,False
90,Tổng Công ty Idico - CTCP,1307,https://cafef.vn/du-lieu//hastc/IDC-tong-cong-ty-idico-ctcp.chn,Bất động sản - Xây dựng,Private,1644496960,13959,8172896486,True,True
91,Tổng Công ty Đầu tư và phát triển Công nghiệp - CTCP,"1229,70",https://cafef.vn/du-lieu//hose/BCM-tong-cong-ty-dau-tu-va-phat-trien-cong-nghiep-ctcp.chn,Bất động sản,SOE,2453126533,"63859,50",6265861178,True,True
92,Công ty cổ phần Đầu tư Thế giới Di động,"1168,20",https://cafef.vn/du-lieu//hose/MWG-cong-ty-co-phan-dau-tu-the-gioi-di-dong.chn,Bán lẻ,Private,4365368364,"94947,51",139872996975,True,True
93,Công ty TNHH Hyosung Việt Nam,1164,https://cafef.vn/du-lieu//otc/HYOSUNGVN-cong-ty-tnhh-hyosung-viet-nam.chn,Hóa chất,Foreign,,,0,False,False
94,Công ty TNHH điện Nghi Sơn 2,1148,https://cafef.vn/du-lieu//otc/NS2PC-cong-ty-tnhh-dien-nghi-son-2.chn,Điện năng,Foreign,,,0,False,False
95,CTCP Bia Sài Gòn - Miền Trung,"1141,60",https://cafef.vn/du-lieu//hose/SMB-ctcp-bia-sai-gon-mien-trung.chn,F&B/Bia rượu,Private,183618203,"1241,62",1415451992,True,True
96,CTCP VNG,"1132,50",https://cafef.vn/du-lieu//upcom/VNZ-ctcp-vng.chn,Công nghệ - Viễn thông,Private,-871079372,"10000,13",9477575304,True,True
97,Ngân hàng TMCP Phương Đông,"1101,20",https://cafef.vn/du-lieu//hose/OCB-ngan-hang-tmcp-phuong-dong.chn,Ngân hàng,Private,,"26753,81",0,False,False
98,Ngân hàng TMCP Đông Nam Á,"1088,45",https://cafef.vn/du-lieu//hose/SSB-ngan-hang-tmcp-dong-nam-a.chn,Ngân hàng,Private,,53486,0,False,False
99,Công ty Cổ phần PVI,1076,https://cafef.vn/du-lieu//hastc/PVI-cong-ty-co-phan-pvi.chn,Bảo hiểm,Foreign,830359434,"13023,85",21869458380,True,True
100,CTCP TẬP ĐOÀN VAS NGHI SƠN,1072,https://cafef.vn/du-lieu//otc/VASNS-ctcp-tap-doan-vas-nghi-son.chn,Thép,Private,,,0,False,False
101,Công ty TNHH MTV Dầu khí Thành phố Hồ Chí Minh,1070,https://cafef.vn/du-lieu//otc/SAIGONPETRO-cong-ty-tnhh-mtv-dau-khi-thanh-pho-ho-chi-minh.chn,Xăng dầu,SOE,,,0,False,False
102,CTCP Chứng khoán SSI,"1063,30",https://cafef.vn/du-lieu//hose/SSI-ctcp-chung-khoan-ssi.chn,Chứng khoán,Private,2835023120,"46986,85",8529279576,True,True
103,CTCP Tập đoàn Hoa Sen,"1041,90",https://cafef.vn/du-lieu//hose/HSG-ctcp-tap-doan-hoa-sen.chn,Thép,Private,458466350,"9625,23",40279778659,True,True
104,CTCP Đầu tư và Kinh doanh nhà Khang Điền,"1036,48",https://cafef.vn/du-lieu//hose/KDH-ctcp-dau-tu-va-kinh-doanh-nha-khang-dien.chn,Bất động sản - Xây dựng,Private,809671290,"29575,92",3295129859,True,True
105,CTCP Đường Quảng Ngãi,986,https://cafef.vn/du-lieu//upcom/QNS-ctcp-duong-quang-ngai.chn,F&B,Private,2236529444,"16911,82",10061554214,True,True
106,Công ty TNHH Bảo hiểm Nhân thọ Dai-ichi Việt Nam,"950,30",https://cafef.vn/du-lieu//otc/DAIICHILIFE-cong-ty-tnhh-bao-hiem-nhan-tho-daiichi-viet-nam.chn,Bảo hiểm,Foreign,,,0,False,False
107,CTCP Chứng khoán VNDirect,922,https://cafef.vn/du-lieu//hose/VND-ctcp-chung-khoan-vndirect.chn,Chứng khoán,Private,1718425030,"23367,30",5324411264,True,True
108,Tổng Công ty Hàng hải Việt Nam - CTCP,"881,38",https://cafef.vn/du-lieu//upcom/MVN-tong-cong-ty-hang-hai-viet-nam-ctcp.chn,Logistics,SOE,1948790263,"81880,10",17135684754,True,True
109,Tổng Công ty Du lịch Sài Gòn - TNHH Một thành viên,"879,20",https://cafef.vn/du-lieu//otc/SAIGONTOURIST-tong-cong-ty-du-lich-sai-gon-tnhh-mot-thanh-vien.chn,Du lịch,SOE,1073259464,,5151411045,False,False
110,CTCP Gemadept,879,https://cafef.vn/du-lieu//hose/GMD-ctcp-gemadept.chn,Logistics,Private,1275807633,"23446,73",5133914168,True,True
111,Tổng công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP,"868,80",https://cafef.vn/du-lieu//upcom/PRT-tong-cong-ty-san-xuat-xuat-nhap-khau-binh-duong-ctcp.chn,"Bất động sản, thương mại",SOE,226509679,2820,1318816864,True,True
112,CTCP Thương mại Đầu tư Dầu khí Nam Sông Hậu,839,https://cafef.vn/du-lieu//hose/PSH-ctcp-thuong-mai-dau-tu-dau-khi-nam-song-hau.chn,Xăng dầu,Private,-770357422,"223,32",704425452,True,True
113,Công ty TNHH Nestlé Việt Nam,828,https://cafef.vn/du-lieu//otc/NESTLE-cong-ty-tnhh-nestle-viet-nam.chn,F&B,Foreign,,,0,False,False
114,CTCP Hàng không VietJet,"798,50",https://cafef.vn/du-lieu//hose/VJC-ctcp-hang-khong-vietjet.chn,Hàng không,Private,1709113552,"48853,34",71976618920,True,True
115,Công Ty CP Đầu tư tập đoàn Tân Á Đại Thành,"797,30",https://cafef.vn/du-lieu//otc/TADT-cong-ty-cp-dau-tu-tap-doan-tan-a-dai-thanh.chn,"Hàng gia dụng, Bất động sản",Private,,,0,False,False
116,Công ty TNHH Hưng Nghiệp Formosa,776,,0,Foreign,False,False
117,Công ty TNHH Hyosung Đồng Nai,776,https://cafef.vn/du-lieu//otc/HYOSUNGDN-cong-ty-tnhh-hyosung-dong-nai.chn,0,Foreign,,,0,False,False
118,Ngân hàng TMCP Xuất nhập khẩu Việt Nam,"765,70",https://cafef.vn/du-lieu//hose/EIB-ngan-hang-tmcp-xuat-nhap-khau-viet-nam.chn,Ngân hàng,Private,,"36788,73",0,False,False
119,Tổng Công ty Đường sắt Việt Nam,"752,30",https://cafef.vn/du-lieu//otc/VNRAILWAYS-tong-cong-ty-duong-sat-viet-nam.chn,Vận tải,SOE,False,False
120,CTCP Tập đoàn Đầu tư Địa ốc No Va,"738,80",https://cafef.vn/du-lieu//hose/NVL-ctcp-tap-doan-dau-tu-dia-oc-no-va.chn,Bất động sản - Xây dựng,Private,1187052975,"23888,78",9041607472,True,True
